from,to,count,fromregion,toregion,,groupfrom,groupto,groupcount
Assistant Manager,Technical,128,Roles,Learning,,,,
Assistant Manager,Process Learning,585,Roles,Learning,,Learning,Roles,29265
Assistant Manager,Technical Skills,88,Roles,Learning,,Roles,Learning,29265
Assistant Manager,Domain Skills,4,Roles,Learning,,Roles,Roles,0
Associate,Technical,1288,Roles,Learning,,,,
Associate,Campus NHO_Professional Development,1440,Roles,Learning,,,,
Associate,Campus NHO_Domain,1440,Roles,Learning,,,,
Associate,Campus NHO_Technical,19744,Roles,Learning,,,,
Associate,Technical Skills,1556,Roles,Learning,,,,
Associate,Process Learning,6,Roles,Learning,,,,
Associate,Domain Skills,36,Roles,Learning,,,,
Developer/Analyst,Technical,304,Roles,Learning,,,,
Developer/Analyst,Technical Skills,464,Roles,Learning,,,,
Developer/Analyst,Process Learning,2,Roles,Learning,,,,
Developer/Analyst,Domain Skills,4,Roles,Learning,,,,
Director,Technical,16,Roles,Learning,,,,
Director,Leadership Development,48,Roles,Learning,,,,
Director,Process Learning,32,Roles,Learning,,,,
Junior Developer/Junior Analyst,Technical Skills,24,Roles,Learning,,,,
Junior Developer/Junior Analyst,Process Learning,1,Roles,Learning,,,,
Junior Developer/Junior Analyst,Domain Skills,4,Roles,Learning,,,,
Manager,Technical,160,Roles,Learning,,,,
Manager,Process Learning,547,Roles,Learning,,,,
Manager,Technical Skills,88,Roles,Learning,,,,
Manager,Domain Skills,4,Roles,Learning,,,,
Senior Developer/Senior Analyst,Technical,432,Roles,Learning,,,,
Senior Developer/Senior Analyst,Process Learning,583,Roles,Learning,,,,
Senior Developer/Senior Analyst,Technical Skills,196,Roles,Learning,,,,
Senior Developer/Senior Analyst,Domain Skills,4,Roles,Learning,,,,
Senior Director,Leadership Development,16,Roles,Learning,,,,
Senior Manager,Technical,16,Roles,Learning,,,,
Senior Manager,Process Learning,1,Roles,Learning,,,,
Senior Manager,Domain Skills,4,Roles,Learning,,,,
Technical,Assistant Manager,128,Learning,Roles,,,,
Process Learning,Assistant Manager,585,Learning,Roles,,,,
Technical Skills,Assistant Manager,88,Learning,Roles,,,,
Domain Skills,Assistant Manager,4,Learning,Roles,,,,
Technical,Associate,1288,Learning,Roles,,,,
Campus NHO_Professional Development,Associate,1440,Learning,Roles,,,,
Campus NHO_Domain,Associate,1440,Learning,Roles,,,,
Campus NHO_Technical,Associate,19744,Learning,Roles,,,,
Technical Skills,Associate,1556,Learning,Roles,,,,
Process Learning,Associate,6,Learning,Roles,,,,
Domain Skills,Associate,36,Learning,Roles,,,,
Technical,Developer/Analyst,304,Learning,Roles,,,,
Technical Skills,Developer/Analyst,464,Learning,Roles,,,,
Process Learning,Developer/Analyst,2,Learning,Roles,,,,
Domain Skills,Developer/Analyst,4,Learning,Roles,,,,
Technical,Director,16,Learning,Roles,,,,
Leadership Development,Director,48,Learning,Roles,,,,
Process Learning,Director,32,Learning,Roles,,,,
Technical Skills,Junior Developer/Junior Analyst,24,Learning,Roles,,,,
Process Learning,Junior Developer/Junior Analyst,1,Learning,Roles,,,,
Domain Skills,Junior Developer/Junior Analyst,4,Learning,Roles,,,,
Technical,Manager,160,Learning,Roles,,,,
Process Learning,Manager,547,Learning,Roles,,,,
Technical Skills,Manager,88,Learning,Roles,,,,
Domain Skills,Manager,4,Learning,Roles,,,,
Technical,Senior Developer/Senior Analyst,432,Learning,Roles,,,,
Process Learning,Senior Developer/Senior Analyst,583,Learning,Roles,,,,
Technical Skills,Senior Developer/Senior Analyst,196,Learning,Roles,,,,
Domain Skills,Senior Developer/Senior Analyst,4,Learning,Roles,,,,
Leadership Development,Senior Director,16,Learning,Roles,,,,
Technical,Senior Manager,16,Learning,Roles,,,,
Process Learning,Senior Manager,1,Learning,Roles,,,,
Domain Skills,Senior Manager,4,Learning,Roles,,,,
